f1_macro;precision_macro;recall_macro;epochs;batch_size;validation_split;filters;kernel_size;conv_activation;conv_l2_regularizer;dropout_rate;dense_activation;dense_l2_regularizer;activation;optimizer;loss_function;units;trainable;dense_layers
0.9387899373;0.941443348;0.9392737019;50;64;0;320;5;relu;0.001;0.2;tanh;0.001;sigmoid;nadam;binary_crossentropy;64;False;1
0.9387430964;0.9405202841;0.9388636863;50;64;0;320;5;tanh;0;0.8;relu;0.01;sigmoid;nadam;binary_crossentropy;256;False;1
0.9387249258;0.9388618144;0.9409653273;75;64;0;320;5;relu;0;0.6;relu;0.01;sigmoid;nadam;binary_crossentropy;256;False;1
0.9386891295;0.9414943819;0.9393177691;50;64;0;320;5;relu;0.001;0;tanh;0;sigmoid;nadam;binary_crossentropy;64;False;1
0.9385915352;0.9356741089;0.9435998028;50;64;0;320;5;relu;0.001;0.6;relu;0;sigmoid;nadam;binary_crossentropy;256;False;1
0.9385862422;0.9421324928;0.9389886287;75;64;0;320;5;relu;0.01;0;tanh;0.001;sigmoid;nadam;binary_crossentropy;64;False;1
0.9385571725;0.9237541971;0.9562741349;50;64;0;320;5;relu;0.001;0.8;relu;0;sigmoid;nadam;binary_crossentropy;256;False;1
0.938544441;0.9335363669;0.9459165001;50;64;0;320;5;tanh;0;0;relu;0.01;sigmoid;nadam;binary_crossentropy;64;False;1
0.9385029566;0.9402914261;0.9383832915;75;64;0;320;5;relu;0.001;0;relu;0.01;sigmoid;nadam;binary_crossentropy;256;False;3
0.9384784586;0.9289785841;0.9505301265;50;64;0;320;5;tanh;0.001;0.8;relu;0.001;sigmoid;nadam;binary_crossentropy;64;False;1
0.9382981451;0.9261674619;0.9529514706;50;64;0;320;5;tanh;0;0.2;tanh;0.01;sigmoid;nadam;binary_crossentropy;64;False;1
0.9382893794;0.9266696029;0.9527631678;50;64;0;320;5;relu;0;0.6;relu;0.01;sigmoid;nadam;binary_crossentropy;64;False;1
0.9381891026;0.9351952926;0.9447503863;75;64;0;320;5;tanh;0.001;0;relu;0.01;sigmoid;nadam;binary_crossentropy;64;False;2
0.9381492712;0.9312415561;0.9473140902;75;64;0;320;5;relu;0.001;0.2;relu;0.01;sigmoid;nadam;binary_crossentropy;64;False;2
0.9381349366;0.9383290058;0.9418350378;75;64;0;320;5;relu;0.001;0.6;relu;0.001;sigmoid;nadam;binary_crossentropy;64;False;1
0.9380795717;0.9310770314;0.9486263313;50;64;0;320;5;relu;0.001;0.8;relu;0;sigmoid;nadam;binary_crossentropy;64;False;1
0.9380047224;0.9267203025;0.951711354;75;64;0;320;5;tanh;0.001;0.8;tanh;0;sigmoid;nadam;binary_crossentropy;256;False;1
0.9379708582;0.9415655254;0.937820207;75;64;0;320;5;tanh;0.001;0.8;relu;0.001;sigmoid;nadam;binary_crossentropy;64;False;1
0.9377961729;0.9550810367;0.9240196081;75;64;0;320;5;relu;0.001;0.8;tanh;0;sigmoid;nadam;binary_crossentropy;64;False;1
0.9377777626;0.941411355;0.93693828;75;64;0;320;5;relu;0.001;0.2;tanh;0;sigmoid;nadam;binary_crossentropy;256;False;1
0.9377410861;0.9373519756;0.9403940104;50;64;0;320;5;tanh;0.001;0.6;tanh;0.001;sigmoid;nadam;binary_crossentropy;256;False;1
0.9376953098;0.9379716231;0.9399091774;50;64;0;320;5;tanh;0;0.6;tanh;0.001;sigmoid;nadam;binary_crossentropy;64;False;1
0.9376902859;0.9246561988;0.9535963901;50;64;0;320;5;tanh;0.001;0;relu;0.01;sigmoid;nadam;binary_crossentropy;64;False;1
0.9375488491;0.9397894356;0.938260276;75;64;0;320;5;relu;0;0.8;tanh;0.01;sigmoid;nadam;binary_crossentropy;64;False;1
