f1_macro;precision_macro;recall_macro;epochs;batch_size;validation_split;filters;kernel_size;conv_activation;conv_l2_regularizer;dropout_rate;dense_activation;dense_l2_regularizer;activation;optimizer;loss_function;units;trainable
0.8765431860233759;0.8975989488752416;0.8964129755043437;50;64;0.0;320;5;relu;0.01;0.6;tanh;0.001;sigmoid;nadam;binary_crossentropy;64;False
0.9358751246008568;0.9270669641038541;0.9473186039290121;50;64;0.0;320;5;relu;0.01;0.6;tanh;0.0;sigmoid;nadam;binary_crossentropy;256;False
0.9374618596180351;0.9341987544153015;0.9434136937151638;50;64;0.0;320;5;relu;0.01;0.6;tanh;0.0;sigmoid;nadam;binary_crossentropy;64;False
0.8989100106907635;0.9142326678328129;0.9026940543506503;50;64;0.0;320;5;relu;0.01;0.8;relu;0.01;sigmoid;nadam;binary_crossentropy;256;False
0.8873632813568925;0.8979845488008251;0.8959187578220412;50;64;0.0;320;5;relu;0.01;0.8;relu;0.01;sigmoid;nadam;binary_crossentropy;64;False
0.9177513407717205;0.9282825751426825;0.9151385199815406;50;64;0.0;320;5;relu;0.01;0.8;relu;0.001;sigmoid;nadam;binary_crossentropy;256;False
0.9096664011740735;0.9172626429878458;0.9157960842183378;50;64;0.0;320;5;relu;0.01;0.8;relu;0.001;sigmoid;nadam;binary_crossentropy;64;False
0.9179955323811916;0.907559451558148;0.9352657786300034;50;64;0.0;320;5;relu;0.01;0.8;relu;0.0;sigmoid;nadam;binary_crossentropy;256;False
0.9201136666803373;0.9137925558209163;0.9336127638642516;50;64;0.0;320;5;relu;0.01;0.8;relu;0.0;sigmoid;nadam;binary_crossentropy;64;False
0.8978681963302376;0.9277880197227786;0.8886531818915531;50;64;0.0;320;5;relu;0.01;0.8;tanh;0.01;sigmoid;nadam;binary_crossentropy;256;False
0.9109404974645507;0.8885513997278688;0.9438106747901491;50;64;0.0;320;5;relu;0.01;0.8;tanh;0.01;sigmoid;nadam;binary_crossentropy;64;False
0.9189781219169264;0.9221431494185837;0.9269010745962417;50;64;0.0;320;5;relu;0.01;0.8;tanh;0.001;sigmoid;nadam;binary_crossentropy;256;False
0.9178245405798571;0.9102767480077436;0.9312812181363093;50;64;0.0;320;5;relu;0.01;0.8;tanh;0.001;sigmoid;nadam;binary_crossentropy;64;False
0.9187223486597695;0.9192680473435255;0.9272849178983387;50;64;0.0;320;5;relu;0.01;0.8;tanh;0.0;sigmoid;nadam;binary_crossentropy;256;False
0.9254948636433484;0.924768238228474;0.9292717499983756;50;64;0.0;320;5;relu;0.01;0.8;tanh;0.0;sigmoid;nadam;binary_crossentropy;64;False
0.933410015887423;0.9347057324559451;0.9354610513756546;50;64;0.0;320;5;relu;0.001;0.0;relu;0.01;sigmoid;nadam;binary_crossentropy;256;False
0.9341074356907575;0.929535623803463;0.9428455351621787;50;64;0.0;320;5;relu;0.001;0.0;relu;0.01;sigmoid;nadam;binary_crossentropy;64;False
0.9418722533696997;0.9420686176113803;0.9446272269737177;50;64;0.0;320;5;relu;0.001;0.0;relu;0.001;sigmoid;nadam;binary_crossentropy;256;False
0.9306810636770175;0.937873281802478;0.9284247433000541;50;64;0.0;320;5;relu;0.001;0.0;relu;0.001;sigmoid;nadam;binary_crossentropy;64;False
0.9303572444874174;0.9452715408186931;0.9204495404379245;50;64;0.0;320;5;relu;0.001;0.0;relu;0.0;sigmoid;nadam;binary_crossentropy;256;False
0.9052051951059822;0.9128346452618284;0.9171172228164789;50;64;0.0;320;5;relu;0.001;0.0;relu;0.0;sigmoid;nadam;binary_crossentropy;64;False
0.9398580440388917;0.9476536654820805;0.9349394758219548;50;64;0.0;320;5;relu;0.001;0.0;tanh;0.01;sigmoid;nadam;binary_crossentropy;256;False
0.9407159786273512;0.9477385953242266;0.9372705424842345;50;64;0.0;320;5;relu;0.001;0.0;tanh;0.01;sigmoid;nadam;binary_crossentropy;64;False
0.9349310973299023;0.9333876466904997;0.9397872607050297;50;64;0.0;320;5;relu;0.001;0.0;tanh;0.001;sigmoid;nadam;binary_crossentropy;256;False
0.9372909771561613;0.9289553732132418;0.9485811275333168;50;64;0.0;320;5;relu;0.001;0.0;tanh;0.001;sigmoid;nadam;binary_crossentropy;64;False
0.8389780596024717;0.8280782653134793;0.8526430546334783;50;64;0.0;320;5;relu;0.001;0.0;tanh;0.0;sigmoid;nadam;binary_crossentropy;256;False
0.9386891295315796;0.9414943819473839;0.9393177691380638;50;64;0.0;320;5;relu;0.001;0.0;tanh;0.0;sigmoid;nadam;binary_crossentropy;64;False
0.9277148583792474;0.928422929705239;0.9328205452664318;50;64;0.0;320;5;relu;0.001;0.2;relu;0.01;sigmoid;nadam;binary_crossentropy;256;False
0.9054665709817916;0.8988148798048137;0.9304383092947994;50;64;0.0;320;5;relu;0.001;0.2;relu;0.01;sigmoid;nadam;binary_crossentropy;64;False
0.9365032280373958;0.9289956685863501;0.9485253779646318;50;64;0.0;320;5;relu;0.001;0.2;relu;0.001;sigmoid;nadam;binary_crossentropy;256;False
0.9373553443378555;0.9392184408234743;0.9383718847081104;50;64;0.0;320;5;relu;0.001;0.2;relu;0.001;sigmoid;nadam;binary_crossentropy;64;False
0.9222453502547328;0.9345017710275885;0.9179219324293865;50;64;0.0;320;5;relu;0.001;0.2;relu;0.0;sigmoid;nadam;binary_crossentropy;256;False
0.9287967145752705;0.9335074059977941;0.9294935834728001;50;64;0.0;320;5;relu;0.001;0.2;relu;0.0;sigmoid;nadam;binary_crossentropy;64;False
0.854303012189962;0.9186193156852562;0.8582098053173084;50;64;0.0;320;5;relu;0.001;0.2;tanh;0.01;sigmoid;nadam;binary_crossentropy;256;False
0.9360616373205701;0.9465468208455817;0.9296029287295404;50;64;0.0;320;5;relu;0.001;0.2;tanh;0.01;sigmoid;nadam;binary_crossentropy;64;False
