f1_macro,precision_macro,recall_macro,algorithm,max_iterations,c1,c2
0.793301661918816,0.83354575264659,0.764706419139012,lbfgs,100,0.1,0.01
0.793002843289056,0.826710629658365,0.770283223228343,lbfgs,100,0.1,0.001
0.792866009867597,0.836860953781857,0.76312885844331,lbfgs,100,0.01,0.1
0.79240016122055,0.836866581735214,0.761530257051926,lbfgs,100,0,0.1
0.792119112346784,0.838130427343506,0.760288664934054,lbfgs,100,0.001,0.1
0.791236107013265,0.828158188541272,0.764993886582731,lbfgs,100,0.1,0
0.790586493492645,0.838175781291581,0.757686636018946,lbfgs,100,0.1,0.1
0.784408307326733,0.823787413132436,0.756708730486433,lbfgs,100,0.001,0.01
0.782376578766341,0.822222830620093,0.755050813292625,lbfgs,100,0.01,0.01
0.781652853988952,0.813317072442138,0.758637725388427,lbfgs,100,0.01,0
0.781245907032718,0.809056997743107,0.76120275548623,lbfgs,100,0.001,0
0.781087557174338,0.819706112924233,0.753657893709657,lbfgs,100,0.01,0.001
0.780940624075667,0.818215450610996,0.753903931646723,lbfgs,100,0,0.01
0.774963484642303,0.809272672398406,0.752089713440371,lbfgs,100,0.001,0.001
0.772058829664265,0.811412596353571,0.745662981785018,lbfgs,100,0,0.001
0.767866753289366,0.800914923317881,0.744258318497453,lbfgs,100,0,0
