mean_test_f1_macro,mean_test_precision_macro,mean_test_recall_macro,param_activation,param_batch_size,param_epochs,param_conv_activation,param_conv_l2_regularizer,param_dense_activation,param_dense_l2_regularizer,param_dropout_rate,param_filters,param_kernel_size,param_loss_function,param_optimizer,param_units
0.9308487749,0.943214189,0.9304572301,sigmoid,64,50,tanh,0.001,tanh,0.01,0.6,320,3,binary_crossentropy,nadam,64
0.9307499983,0.9624686465,0.9119568835,sigmoid,64,50,relu,0.01,relu,0.001,0.6,320,5,binary_crossentropy,nadam,256
0.9305886342,0.9382011508,0.9318385523,sigmoid,64,25,relu,0.001,relu,0.01,0.6,64,3,binary_crossentropy,nadam,256
0.930554302,0.951459899,0.9258650796,sigmoid,64,50,relu,0.001,tanh,0.01,0.6,320,5,binary_crossentropy,nadam,64
0.9305339019,0.9282514495,0.9440579421,sigmoid,64,25,relu,0.01,tanh,0.001,0.6,320,3,binary_crossentropy,nadam,256
0.9300216022,0.9314940011,0.9406714063,sigmoid,64,25,relu,0.01,relu,0.001,0.6,64,5,binary_crossentropy,nadam,256
0.9298331608,0.9690257153,0.9050064622,sigmoid,64,50,relu,0.001,relu,0.001,0.6,320,5,binary_crossentropy,nadam,256
0.9292349069,0.9402827695,0.9272699751,sigmoid,64,50,tanh,0.01,relu,0.01,0.6,320,5,binary_crossentropy,nadam,16
0.9292073191,0.9500097513,0.9215146315,sigmoid,64,25,tanh,0.001,tanh,0.001,0.6,64,3,binary_crossentropy,nadam,256
0.9291346163,0.9426257056,0.9273151314,sigmoid,64,50,tanh,0.001,relu,0.01,0.6,320,3,binary_crossentropy,nadam,16
0.9290013173,0.9526482391,0.9233728036,sigmoid,64,50,relu,0.001,tanh,0.01,0.6,64,3,binary_crossentropy,nadam,64
0.9287267921,0.9576976701,0.9178167408,sigmoid,64,50,relu,0.001,relu,0.001,0.6,320,5,binary_crossentropy,nadam,64
0.9282270826,0.9176899111,0.9547475527,sigmoid,64,50,relu,0.01,tanh,0.01,0.6,64,3,binary_crossentropy,nadam,256
0.9278793927,0.9546648358,0.9128164699,sigmoid,64,50,tanh,0.01,tanh,0.001,0.6,64,5,binary_crossentropy,nadam,256
0.927876487,0.9600176969,0.9188493828,sigmoid,64,50,relu,0.01,tanh,0.001,0.6,320,5,binary_crossentropy,nadam,256
0.9273170264,0.9494888968,0.9150164463,sigmoid,64,25,tanh,0.01,relu,0.01,0.6,320,5,binary_crossentropy,nadam,64
0.9270645709,0.9575531488,0.9113087599,sigmoid,64,50,tanh,0.01,tanh,0.01,0.6,320,3,binary_crossentropy,nadam,256
0.926478646,0.953159221,0.9085312974,sigmoid,64,25,relu,0.01,tanh,0.001,0.6,320,5,binary_crossentropy,nadam,64
0.926131535,0.9427926578,0.9240832545,sigmoid,64,50,relu,0.001,relu,0.001,0.6,320,3,binary_crossentropy,nadam,16
0.926104778,0.9548723335,0.9104930254,sigmoid,64,25,tanh,0.001,tanh,0.001,0.6,64,5,binary_crossentropy,nadam,256
0.9260357089,0.9705081532,0.90522045,sigmoid,64,25,relu,0.001,relu,0.001,0.6,64,5,binary_crossentropy,nadam,256
0.9255409228,0.9534932266,0.9095639393,sigmoid,64,25,tanh,0.001,relu,0.001,0.6,64,3,binary_crossentropy,nadam,256
0.9252982551,0.9485124205,0.9152304341,sigmoid,64,50,relu,0.001,tanh,0.001,0.6,320,3,binary_crossentropy,nadam,16
0.9252982551,0.9485124205,0.9152304341,sigmoid,64,50,tanh,0.001,relu,0.001,0.6,64,3,binary_crossentropy,nadam,256
0.92494566,0.931514267,0.9332738972,sigmoid,64,25,relu,0.01,relu,0.01,0.6,320,3,binary_crossentropy,nadam,16
0.9248122103,0.9355244658,0.9258414777,sigmoid,64,50,tanh,0.01,tanh,0.001,0.6,320,3,binary_crossentropy,nadam,64
0.9248002492,0.9429635116,0.9166812844,sigmoid,64,50,tanh,0.01,relu,0.01,0.6,320,3,binary_crossentropy,nadam,64
0.9246729945,0.9486469051,0.9146989026,sigmoid,64,25,tanh,0.001,relu,0.001,0.6,64,3,binary_crossentropy,nadam,64
0.9245582657,0.9472009425,0.9109452615,sigmoid,64,50,tanh,0.001,tanh,0.01,0.6,64,3,binary_crossentropy,nadam,256
0.9241814454,0.9556247531,0.9080562294,sigmoid,64,50,tanh,0.001,relu,0.001,0.6,320,3,binary_crossentropy,nadam,16
0.9239908291,0.9330557233,0.9205236632,sigmoid,64,50,relu,0.01,tanh,0.001,0.6,320,3,binary_crossentropy,nadam,16
0.9238010093,0.9350814956,0.9208412068,sigmoid,64,25,relu,0.01,relu,0.01,0.6,320,3,binary_crossentropy,nadam,256
0.923763401,0.9351098983,0.9217702929,sigmoid,64,50,relu,0.001,relu,0.01,0.6,320,3,binary_crossentropy,nadam,16
0.9236677102,0.9451040292,0.9168988791,sigmoid,64,50,relu,0.001,relu,0.001,0.6,64,3,binary_crossentropy,nadam,64
0.9235603001,0.9433826728,0.9161837807,sigmoid,64,50,relu,0.001,tanh,0.01,0.6,64,3,binary_crossentropy,nadam,256
0.9233460173,0.9525843792,0.9064218406,sigmoid,64,25,relu,0.001,relu,0.01,0.6,64,5,binary_crossentropy,nadam,256
0.9231776059,0.9420917859,0.9203994536,sigmoid,64,50,tanh,0.001,relu,0.01,0.6,320,3,binary_crossentropy,nadam,64
0.923055738,0.9468734516,0.9106277179,sigmoid,64,50,relu,0.01,relu,0.01,0.6,320,3,binary_crossentropy,nadam,256
0.9230216597,0.9561498165,0.908066025,sigmoid,64,50,relu,0.001,tanh,0.01,0.6,320,3,binary_crossentropy,nadam,16
0.9228491021,0.9476308708,0.9074856192,sigmoid,64,50,relu,0.01,tanh,0.01,0.6,320,3,binary_crossentropy,nadam,256
0.9226734158,0.9528797492,0.9048576672,sigmoid,64,50,relu,0.01,relu,0.001,0.6,320,5,binary_crossentropy,nadam,16
0.9225643161,0.954333267,0.9057867533,sigmoid,64,50,tanh,0.01,relu,0.01,0.6,320,5,binary_crossentropy,nadam,256
0.9223093832,0.9395344531,0.917246872,sigmoid,64,50,tanh,0.01,tanh,0.01,0.6,64,3,binary_crossentropy,nadam,16
0.9222136924,0.949528584,0.9123754582,sigmoid,64,50,relu,0.001,relu,0.01,0.6,64,3,binary_crossentropy,nadam,64
0.9221940594,0.958134179,0.9121372098,sigmoid,64,25,relu,0.01,relu,0.01,0.6,64,5,binary_crossentropy,nadam,16
0.9221838817,0.9200252791,0.9313132227,sigmoid,64,50,tanh,0.01,relu,0.001,0.6,64,3,binary_crossentropy,nadam,256
0.922138697,0.9382285257,0.9143560579,sigmoid,64,25,relu,0.01,relu,0.01,0.6,320,3,binary_crossentropy,nadam,64
0.9219535517,0.9445155458,0.9137567803,sigmoid,64,50,tanh,0.01,relu,0.001,0.6,320,5,binary_crossentropy,nadam,64
0.9217944748,0.9372785497,0.9169293284,sigmoid,64,50,relu,0.01,relu,0.01,0.6,64,3,binary_crossentropy,nadam,16
0.9214882923,0.937190624,0.9128581436,sigmoid,64,50,relu,0.01,relu,0.01,0.6,64,3,binary_crossentropy,nadam,256
0.9211403924,0.9338135869,0.9214527493,sigmoid,64,50,tanh,0.01,relu,0.01,0.6,320,3,binary_crossentropy,nadam,16
0.9209910441,0.955662847,0.9067158394,sigmoid,64,25,relu,0.01,relu,0.01,0.6,320,5,binary_crossentropy,nadam,64
0.9209257966,0.9683659704,0.897475635,sigmoid,64,25,tanh,0.01,relu,0.01,0.6,64,5,binary_crossentropy,nadam,64
0.9207055357,0.9463016128,0.9073751873,sigmoid,64,25,relu,0.01,relu,0.001,0.6,320,5,binary_crossentropy,nadam,16
0.9205062364,0.925065125,0.9300760765,sigmoid,64,50,relu,0.01,relu,0.01,0.6,64,5,binary_crossentropy,nadam,256
0.9202705207,0.9452257462,0.9078031628,sigmoid,64,25,relu,0.01,tanh,0.01,0.6,320,5,binary_crossentropy,nadam,16
0.9202080761,0.9315757269,0.9158713853,sigmoid,64,50,relu,0.01,tanh,0.01,0.6,64,3,binary_crossentropy,nadam,64
0.9199004312,0.949546686,0.9090193717,sigmoid,64,25,relu,0.01,tanh,0.01,0.6,320,5,binary_crossentropy,nadam,256
0.9197595445,0.9476286226,0.9049481869,sigmoid,64,50,tanh,0.001,tanh,0.001,0.6,64,3,binary_crossentropy,nadam,64
0.919625906,0.954596117,0.9034633088,sigmoid,64,25,relu,0.01,tanh,0.01,0.6,320,3,binary_crossentropy,nadam,256
0.9196006973,0.9534064059,0.9035668647,sigmoid,64,50,tanh,0.001,relu,0.01,0.6,320,5,binary_crossentropy,nadam,16
0.9193450962,0.9295155965,0.9213032386,sigmoid,64,25,tanh,0.01,relu,0.001,0.6,64,3,binary_crossentropy,nadam,16
0.9189253619,0.9373809834,0.9126441558,sigmoid,64,50,relu,0.001,tanh,0.01,0.6,64,3,binary_crossentropy,nadam,16
0.9189253619,0.9373809834,0.9126441558,sigmoid,64,50,tanh,0.01,tanh,0.01,0.6,320,3,binary_crossentropy,nadam,64
0.9185472961,0.9530120593,0.900424766,sigmoid,64,25,relu,0.001,tanh,0.001,0.6,320,5,binary_crossentropy,nadam,256
0.9185472961,0.9530120593,0.900424766,sigmoid,64,50,tanh,0.001,tanh,0.001,0.6,64,5,binary_crossentropy,nadam,256
0.918488376,0.9632132752,0.896319525,sigmoid,64,50,relu,0.001,relu,0.01,0.6,64,3,binary_crossentropy,nadam,256
0.9184137281,0.9465777353,0.9051621747,sigmoid,64,50,relu,0.001,relu,0.001,0.6,64,3,binary_crossentropy,nadam,256
0.9184137281,0.9465777353,0.9051621747,sigmoid,64,50,tanh,0.001,tanh,0.01,0.6,320,3,binary_crossentropy,nadam,256
0.918236105,0.9504421963,0.8986770257,sigmoid,64,25,tanh,0.001,relu,0.001,0.6,64,5,binary_crossentropy,nadam,64
0.9177291744,0.9418423342,0.90925762,sigmoid,64,50,tanh,0.01,relu,0.001,0.6,320,5,binary_crossentropy,nadam,16
0.9175810472,0.9306774883,0.9097403055,sigmoid,64,50,tanh,0.01,tanh,0.01,0.6,320,3,binary_crossentropy,nadam,16
0.9171155126,0.9467866309,0.9046306433,sigmoid,64,50,relu,0.01,tanh,0.01,0.6,320,5,binary_crossentropy,nadam,256
0.9170841472,0.9559919961,0.9043923949,sigmoid,64,25,relu,0.01,relu,0.01,0.6,64,3,binary_crossentropy,nadam,64
0.9166757732,0.9414479876,0.9061155213,sigmoid,64,50,tanh,0.01,tanh,0.001,0.6,64,5,binary_crossentropy,nadam,64
