f1_macro,precision_macro,recall_macro,epochs,batch_size,validation_split,recurrent_dropout,dropout_rate,dense_activation,dense_l2_regularizer,activation,optimizer,loss_function,gru_units,units
0.772519676295974,0.751008591459949,0.802985732322351,75,64,0.15,0.8,0.6,relu,0,sigmoid,nadam,binary_crossentropy,256,256
0.772258633727627,0.756222233451682,0.797470749739987,75,64,0.15,0.8,0.8,tanh,0,sigmoid,nadam,binary_crossentropy,256,256
0.772061806505848,0.754430261413897,0.797277172530165,75,64,0.15,0.6,0.8,relu,0.001,sigmoid,nadam,categorical_crossentropy,256,256
0.771874731268993,0.749283461693926,0.804205018341852,75,64,0.15,0.6,0.6,relu,0,sigmoid,nadam,binary_crossentropy,256,256
0.771855966628633,0.752260001263628,0.800114869049304,75,64,0.15,0.6,0.6,tanh,0,sigmoid,nadam,categorical_crossentropy,256,256
0.771703742274499,0.754087644109509,0.799162006628204,75,64,0.15,0.8,0.6,relu,0.001,sigmoid,nadam,binary_crossentropy,256,256
0.771645509253679,0.746571935150386,0.806658680349316,75,64,0.15,0.6,0.6,tanh,0.001,softmax,nadam,categorical_crossentropy,256,256
0.771449589883427,0.750500583913651,0.803562038621622,75,64,0.15,0.6,0.8,relu,0.01,softmax,nadam,binary_crossentropy,256,256
0.771445047052537,0.748532996626936,0.806527375354783,75,64,0.15,0.6,0.8,relu,0.001,sigmoid,nadam,binary_crossentropy,256,256
0.771236180460182,0.751231369420094,0.801671760435628,75,64,0.15,0.8,0.6,tanh,0.01,softmax,nadam,categorical_crossentropy,256,256
0.771197617612747,0.752261480159249,0.799196217970637,75,64,0.15,0.8,0.8,tanh,0.01,sigmoid,nadam,binary_crossentropy,256,256
0.771102038563123,0.75048248900564,0.801583500925764,75,64,0.15,0.8,0.6,relu,0.001,softmax,nadam,binary_crossentropy,256,256
0.771042545006795,0.75016862284624,0.800746703988816,75,64,0.15,0.8,0.6,tanh,0.001,sigmoid,nadam,categorical_crossentropy,256,256
0.770772201127603,0.752506439974703,0.799315582993585,75,64,0.15,0.6,0.8,relu,0,sigmoid,nadam,categorical_crossentropy,256,256
0.770700342466825,0.748911517917729,0.801654711181001,75,64,0.15,0.8,0.6,relu,0.001,sigmoid,nadam,categorical_crossentropy,256,256
0.770678896524069,0.74887184269314,0.805866635264494,75,64,0.15,0.6,0.8,relu,0,softmax,nadam,binary_crossentropy,256,256
0.77055659161435,0.750679113314875,0.800607460911344,75,64,0.15,0.8,0.8,relu,0.01,sigmoid,nadam,categorical_crossentropy,256,256
0.770429422565316,0.748753130161593,0.803390963583286,75,64,0.15,0.8,0.6,tanh,0.01,sigmoid,nadam,categorical_crossentropy,256,256
0.770199148287345,0.74570325946003,0.80463267226897,75,64,0.15,0.8,0.6,tanh,0.01,sigmoid,nadam,binary_crossentropy,256,256
0.770152703097697,0.744776526549506,0.805445464697776,75,64,0.15,0.8,0.8,relu,0,softmax,nadam,categorical_crossentropy,256,256
0.770085647460603,0.748757759288039,0.80313977563215,75,64,0.15,0.8,0.8,tanh,0.001,sigmoid,nadam,binary_crossentropy,256,256
0.769963505799422,0.746807610314439,0.804080113364871,75,64,0.15,0.8,0.8,tanh,0.001,sigmoid,nadam,categorical_crossentropy,256,256
0.769949698461358,0.750877633905768,0.79846955606507,75,64,0.15,0.8,0.6,tanh,0.001,softmax,nadam,categorical_crossentropy,256,256
0.769790737018945,0.750134604777317,0.79800112852514,75,64,0.15,0.6,0.8,tanh,0.001,sigmoid,nadam,categorical_crossentropy,256,256
0.769505901452763,0.74885888063453,0.800373982893014,75,64,0.15,0.6,0.6,tanh,0.01,sigmoid,nadam,binary_crossentropy,256,256
0.769343801469512,0.746273111495685,0.801497682850003,75,64,0.15,0.6,0.6,tanh,0,sigmoid,nadam,binary_crossentropy,256,256
0.769056209373572,0.750606017207093,0.79652191788724,75,64,0.15,0.6,0.6,tanh,0,softmax,nadam,categorical_crossentropy,256,256
0.768930069440186,0.750628995833806,0.798688009504444,75,64,0.15,0.8,0.6,tanh,0,sigmoid,nadam,binary_crossentropy,256,256
0.768848785500252,0.750728900760755,0.800561316468833,75,64,0.15,0.8,0.6,tanh,0,softmax,nadam,binary_crossentropy,256,256
0.768848451512612,0.742999329517999,0.804605929828985,75,64,0.15,0.8,0.8,tanh,0,softmax,nadam,binary_crossentropy,256,256
0.768778325254406,0.747598323689469,0.801013600868745,75,64,0.15,0.6,0.6,relu,0.001,softmax,nadam,binary_crossentropy,256,256
0.76874120061216,0.740815714990535,0.806455649049139,75,64,0.15,0.8,0.6,relu,0,sigmoid,nadam,categorical_crossentropy,256,256
0.768277023428864,0.744129313922473,0.802299493876993,75,64,0.15,0.6,0.8,relu,0.01,sigmoid,nadam,binary_crossentropy,256,256
0.768165864769099,0.750585018571053,0.794225490640842,75,64,0.15,0.8,0.8,tanh,0.001,softmax,nadam,binary_crossentropy,256,256
0.768022105184463,0.746017628040416,0.801006365701899,75,64,0.15,0.6,0.8,relu,0.01,sigmoid,nadam,categorical_crossentropy,256,256
0.767879914103473,0.745147946852414,0.799550918060144,75,64,0.15,0.8,0.8,tanh,0.001,softmax,nadam,categorical_crossentropy,256,256
0.767571923642718,0.747836437457918,0.800791458591523,75,64,0.15,0.8,0.6,relu,0.01,softmax,nadam,binary_crossentropy,256,256
0.767368197190425,0.746491434702988,0.797353430199805,75,64,0.15,0.8,0.8,relu,0.001,sigmoid,nadam,categorical_crossentropy,256,256
0.767188667268059,0.743919003119869,0.801767834151363,75,64,0.15,0.6,0.6,relu,0.01,softmax,nadam,categorical_crossentropy,256,256
0.767155086785279,0.751377586559974,0.79686776831789,75,64,0.15,0.6,0.6,relu,0.001,sigmoid,nadam,categorical_crossentropy,256,256
0.766783779770783,0.741555555696785,0.802562959715127,75,64,0.15,0.6,0.6,relu,0.01,sigmoid,nadam,categorical_crossentropy,256,256
0.76598287008534,0.74077991391691,0.802231656054703,75,64,0.15,0.6,0.6,relu,0.001,softmax,nadam,categorical_crossentropy,256,256
0.765190277600889,0.743091501746387,0.795770659983972,75,64,0.15,0.8,0.8,relu,0.001,softmax,nadam,categorical_crossentropy,256,256
0.764697297122718,0.740873095106771,0.803245026210811,75,64,0.15,0.6,0.6,relu,0,softmax,nadam,categorical_crossentropy,256,256
0.764669617548375,0.745886040076279,0.793192198481776,75,64,0.15,0.6,0.8,tanh,0,sigmoid,nadam,categorical_crossentropy,256,256
0.764565300673313,0.7405746669759,0.799016570280728,75,64,0.15,0.6,0.8,relu,0,sigmoid,nadam,binary_crossentropy,256,256
0.764529958815013,0.739077137523962,0.799955805141264,75,64,0.15,0.6,0.6,relu,0.001,sigmoid,nadam,binary_crossentropy,256,256
0.763325992350108,0.740017012036421,0.799648865650279,75,64,0.15,0.6,0.6,tanh,0.001,sigmoid,nadam,categorical_crossentropy,256,256
0.763312780680608,0.744661688080044,0.795667904686274,75,64,0.15,0.6,0.6,relu,0.01,sigmoid,nadam,binary_crossentropy,256,256
0.763066549598736,0.743083984541219,0.796459254533758,75,64,0.15,0.6,0.6,tanh,0.01,softmax,nadam,binary_crossentropy,256,256
0.762474870710606,0.737227705288342,0.796571761401346,75,64,0.15,0.8,0.6,tanh,0,softmax,nadam,categorical_crossentropy,256,256
0.762467256235252,0.738144364963683,0.79924076878386,75,64,0.15,0.6,0.8,tanh,0.001,softmax,nadam,categorical_crossentropy,256,256
0.761090654421368,0.744215548112665,0.788929169034801,75,64,0.15,0.6,0.6,relu,0,softmax,nadam,binary_crossentropy,256,256
0.760310466674681,0.742756936013183,0.790912712666364,75,64,0.15,0.6,0.8,tanh,0.01,softmax,nadam,categorical_crossentropy,256,256
0.759586049173863,0.735964751835234,0.797481462328924,75,64,0.15,0.8,0.8,tanh,0.01,softmax,nadam,binary_crossentropy,256,256
0.756884782909868,0.736961252929514,0.790347898514601,75,64,0.15,0.8,0.8,relu,0.01,softmax,nadam,binary_crossentropy,256,256
0.756567981657225,0.734518911348267,0.792633712200488,75,64,0.15,0.6,0.8,tanh,0.01,sigmoid,nadam,binary_crossentropy,256,256
